character,voice_direction,context,line_text,filename
Danny Kowalski,"tired and dry, doesn't rise to anyone's energy — most deadpan voice in the cast",danny_apology cutscene,...huh. That's the first time you've said that without a punchline after it.,danny_03.mp3
Danny Kowalski,"tired and dry, doesn't rise to anyone's energy — most deadpan voice in the cast",danny_apology cutscene,Fine. Apology accepted. Never bring up the wrestling match again.,danny_04.mp3
Danny Kowalski,"tired and dry, doesn't rise to anyone's energy — most deadpan voice in the cast",danny_ambient,Don't step on the equipment. I only just got it organized.,danny_05.mp3
Danny Kowalski,"tired and dry, doesn't rise to anyone's energy — most deadpan voice in the cast",danny_ambient,"You know I have a knee brace named after this game, right? Not a good name.",danny_06.mp3
Danny Kowalski,"tired and dry, doesn't rise to anyone's energy — most deadpan voice in the cast",danny_ambient,"Gatorade Fund's still not full, by the way.",danny_07.mp3
Danny Kowalski,"tired and dry, doesn't rise to anyone's energy — most deadpan voice in the cast",danny_ambient,"Coach still won't let me referee your games. Says I'm 'biased.' I am, a little.",danny_08.mp3
The PA Voice,"small-town sports-broadcast cadence — nervous, over-enthusiastic, trails off mid-sentence",pa_announcer_turbo_bowl,"And he's OFF! Turbo Jones — sorry, is it Jonas? — with the ball!",pa_01.mp3
The PA Voice,"small-town sports-broadcast cadence — nervous, over-enthusiastic, trails off mid-sentence",pa_announcer_turbo_bowl,"Ohhh he's cutting left, he's cutting right, does HE even know where he's going?",pa_02.mp3
The PA Voice,"small-town sports-broadcast cadence — nervous, over-enthusiastic, trails off mid-sentence",pa_announcer_turbo_bowl,"Fifty yards! Halfway there, folks — halfway to glory or a pulled hamstring!",pa_03.mp3
The PA Voice,"small-town sports-broadcast cadence — nervous, over-enthusiastic, trails off mid-sentence",pa_announcer_turbo_bowl,TOUCHDOWN! TOUCHDOWN JONES! I mean JONES-JONAS! SOMEBODY CONFIRM THE SPELLING!,pa_04.mp3
The PA Voice,"small-town sports-broadcast cadence — nervous, over-enthusiastic, trails off mid-sentence",pa_announcer_turbo_bowl,"Ohh, and he's DOWN. Tackled. That's gotta hurt. Today's game is brought to you by Big Gary's Discount Airbags — 'we cushion the blow, literally.'",pa_05.mp3
The PA Voice,"small-town sports-broadcast cadence — nervous, over-enthusiastic, trails off mid-sentence",pa_announcer_turbo_bowl,This broadcast is sponsored by Sunny Sam's Suspiciously Cheap Watches. Sunny Sam is not currently answering his phone.,pa_06.mp3
Amber,"light, casual, a little unimpressed even when impressed",turbo_bowl_payoff cutscene,"Okay, that was actually kind of impressive.",amber_01.mp3
Chaos Pizza Goons,"loud, dumb-muscle energy — comic contrast to Donna's cool composure",chaos_pizza_goon_taunt,Boss said no discounts!,goon_01.mp3
Chaos Pizza Goons,"loud, dumb-muscle energy — comic contrast to Donna's cool composure",chaos_pizza_goon_taunt,"You're not on the delivery schedule, pal!",goon_02.mp3
Chaos Pizza Goons,"loud, dumb-muscle energy — comic contrast to Donna's cool composure",chaos_pizza_goon_taunt,This one's extra crispy!,goon_03.mp3
Chaos Pizza Goons,"loud, dumb-muscle energy — comic contrast to Donna's cool composure",chaos_pizza_goon_taunt,Nobody steals the family car!,goon_04.mp3
Chaos Pizza Goons,"loud, dumb-muscle energy — comic contrast to Donna's cool composure",chaos_pizza_goon_taunt,"That's a FAMILY vehicle, chump!",goon_05.mp3
Chaos Pizza Goons,"loud, dumb-muscle energy — comic contrast to Donna's cool composure",chaos_pizza_goon_taunt,You want a tip? Here's my fist!,goon_06.mp3
Chaos Pizza Goons,"loud, dumb-muscle energy — comic contrast to Donna's cool composure",chaos_pizza_goon_taunt,Boss is gonna hear about this — and so are your kneecaps!,goon_07.mp3
Chaos Pizza Goons,"loud, dumb-muscle energy — comic contrast to Donna's cool composure",chaos_pizza_goon_taunt,"Get off our route, freeloader!",goon_08.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_street_taunt,"Hey, it's Fumble Jones!",jock_01.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_street_taunt,"Coach still talks about what you did to Danny's knee, man.",jock_02.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_street_taunt,You still owe this team an apology. And a knee replacement.,jock_03.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_street_taunt,"Nice bus pass, star player.",jock_04.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_street_taunt,Heard you're back. Heard nobody cares.,jock_05.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_street_taunt,You get banned from the locker room AND the whole city? Impressive.,jock_06.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_fight,This is for Danny's knee!,jock_07.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_fight,"You're not even wearing pads, this is EASY!",jock_08.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_fight,"Coach said if I see you, I hit you. Simple as that.",jock_09.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_fight,"Should've stayed inside, Jones!",jock_10.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_post_rematch,"...respect, man. Actual respect.",jock_11.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_post_rematch,Coach never lost a fistfight before. You broke something sacred.,jock_12.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_post_rematch,"You're still banned from the group chat, though.",jock_13.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_turbobowl_defender,"Not today, Jones!",jock_14.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_turbobowl_defender,"You're still slow, old man!",jock_15.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_turbobowl_defender,"I've got you, I've got you— dang it, I don't got you!",jock_16.mp3
Alumni Wildcats,"cocky ex-jock, half taunting half genuinely sore — warms up after Rematch",jock_turbobowl_defender,"Coach is WATCHING, Jones, don't embarrass us!",jock_17.mp3
Boardwalk Racer,"cocky but harmless — a bragging-rights rival, not a real threat",boardwalk_racer_taunt,Bet you can't catch air off that ramp without eating pavement.,racer_01.mp3
Boardwalk Racer,"cocky but harmless — a bragging-rights rival, not a real threat",boardwalk_racer_taunt,My grandma drifts better than that.,racer_02.mp3
Boardwalk Racer,"cocky but harmless — a bragging-rights rival, not a real threat",boardwalk_racer_taunt,"Sixty seconds. Make it count, hotshot.",racer_03.mp3
Boardwalk Racer,"cocky but harmless — a bragging-rights rival, not a real threat",boardwalk_racer_taunt,Pink slips are so last decade. Just embarrass yourself for free.,racer_04.mp3
Boardwalk Racer,"cocky but harmless — a bragging-rights rival, not a real threat",boardwalk_racer_taunt,I've seen shopping carts drift better.,racer_05.mp3
Boardwalk Racer,"cocky but harmless — a bragging-rights rival, not a real threat",boardwalk_racer_taunt,Land it clean or don't land it at all.,racer_06.mp3
Cheer Squad,"light and gossipy, mostly indifferent to the general chaos of San Chaos",cheer_squad_ambient,"Two, four, six, eight, who do we NOT appreciate? Coach's whistle, that's who.",cheer_01.mp3
Cheer Squad,"light and gossipy, mostly indifferent to the general chaos of San Chaos",cheer_squad_ambient,Is that guy allowed back here?,cheer_02.mp3
Cheer Squad,"light and gossipy, mostly indifferent to the general chaos of San Chaos",cheer_squad_ambient,"He's kind of got main-character energy, not gonna lie.",cheer_03.mp3
Deb,"deadpan, economical, out of patience but not cruel — never shouted",deb_confrontation cutscene (locked canon),Turbo. We need to talk.,deb_01.mp3
Deb,"deadpan, economical, out of patience but not cruel — never shouted",deb_confrontation cutscene (locked canon),You owe me $800 in child support.,deb_02.mp3
Deb,"deadpan, economical, out of patience but not cruel — never shouted",deb_confrontation cutscene (locked canon),"Pay me, or you go BACK to jail. Have fun, Turbo.",deb_03.mp3
Deb,"deadpan, economical, out of patience but not cruel — never shouted",deb_payoff cutscene (locked canon),...wow. You actually paid.,deb_04.mp3
Deb,"deadpan, economical, out of patience but not cruel — never shouted",deb_payoff cutscene (locked canon),"Later, Turbo.",deb_05.mp3
Deb,"deadpan, economical, out of patience but not cruel — never shouted",deb_idle_wait (action: checks phone),Unbelievable.,deb_06.mp3
Deb,"deadpan, economical, out of patience but not cruel — never shouted",deb_idle_wait (action: sighs),"Tonight, Turbo. I mean it.",deb_07.mp3
Deb,"deadpan, economical, out of patience but not cruel — never shouted",deb_idle_wait (action: to herself),I should've asked for it in the divorce.,deb_08.mp3
